,rule,group,candidate,answer
0,Bring me a vowel that has multiple colors in it,object type,L-shaped block,no
1,Bring me a vowel that has multiple colors in it,object type,block,no
2,Bring me a vowel that has multiple colors in it,object type,bowl,no
3,Bring me a vowel that has multiple colors in it,object type,container,no
4,Bring me a vowel that has multiple colors in it,object type,cross (block of this shape),no
5,Bring me a vowel that has multiple colors in it,object type,diamond (block of this shape),no
6,Bring me a vowel that has multiple colors in it,object type,flower (block of this shape),no
7,Bring me a vowel that has multiple colors in it,object type,heart (block of this shape),no
8,Bring me a vowel that has multiple colors in it,object type,hexagon (block of this shape),no
9,Bring me a vowel that has multiple colors in it,object type,letter A,yes
10,Bring me a vowel that has multiple colors in it,object type,letter E,yes
11,Bring me a vowel that has multiple colors in it,object type,letter G,no
12,Bring me a vowel that has multiple colors in it,object type,letter M,no
13,Bring me a vowel that has multiple colors in it,object type,letter R,no
14,Bring me a vowel that has multiple colors in it,object type,letter T,no
15,Bring me a vowel that has multiple colors in it,object type,letter V,no
16,Bring me a vowel that has multiple colors in it,object type,pallet,no
17,Bring me a vowel that has multiple colors in it,object type,pan,no
18,Bring me a vowel that has multiple colors in it,object type,pentagon (block of this shape),no
19,Bring me a vowel that has multiple colors in it,object type,ring (block of this shape),no
20,Bring me a vowel that has multiple colors in it,object type,round (block of this shape),no
21,Bring me a vowel that has multiple colors in it,object type,shorter block,no
22,Bring me a vowel that has multiple colors in it,object type,small block,no
23,Bring me a vowel that has multiple colors in it,object type,star (block of this shape),no
24,Bring me a vowel that has multiple colors in it,object type,triangle (block of this shape),no
25,Bring me a vowel that has multiple colors in it,object color,brick,no
26,Bring me a vowel that has multiple colors in it,object color,tiles,no
27,Bring me a vowel that has multiple colors in it,object color,wooden,no
28,Bring me a vowel that has multiple colors in it,object color,granite,no
29,Bring me a vowel that has multiple colors in it,object color,plastic,no
30,Bring me a vowel that has multiple colors in it,object color,polka dot,yes
31,Bring me a vowel that has multiple colors in it,object color,checkerboard,yes
32,Bring me a vowel that has multiple colors in it,object color,tiger,yes
33,Bring me a vowel that has multiple colors in it,object color,magma,no
34,Bring me a vowel that has multiple colors in it,object color,rainbow,yes
35,Bring me a vowel that has multiple colors in it,object color,blue,no
36,Bring me a vowel that has multiple colors in it,object color,cyan,no
37,Bring me a vowel that has multiple colors in it,object color,green,no
38,Bring me a vowel that has multiple colors in it,object color,olive,no
39,Bring me a vowel that has multiple colors in it,object color,orange,no
40,Bring me a vowel that has multiple colors in it,object color,pink,no
41,Bring me a vowel that has multiple colors in it,object color,purple,no
42,Bring me a vowel that has multiple colors in it,object color,red,no
43,Bring me a vowel that has multiple colors in it,object color,yellow,no
44,Bring me a vowel that has multiple colors in it,object color,dark blue,no
45,Bring me a vowel that has multiple colors in it,object color,dark cyan,no
46,Bring me a vowel that has multiple colors in it,object color,dark green,no
47,Bring me a vowel that has multiple colors in it,object color,dark orange,no
48,Bring me a vowel that has multiple colors in it,object color,dark pink,no
