,rule,group,candidate,answer
0,Bring me a pentagon made of the same material as my dream patio,object type,L-shaped block,no
1,Bring me a pentagon made of the same material as my dream patio,object type,block,no
2,Bring me a pentagon made of the same material as my dream patio,object type,bowl,no
3,Bring me a pentagon made of the same material as my dream patio,object type,container,no
4,Bring me a pentagon made of the same material as my dream patio,object type,cross (block of this shape),no
5,Bring me a pentagon made of the same material as my dream patio,object type,diamond (block of this shape),no
6,Bring me a pentagon made of the same material as my dream patio,object type,flower (block of this shape),no
7,Bring me a pentagon made of the same material as my dream patio,object type,heart (block of this shape),no
8,Bring me a pentagon made of the same material as my dream patio,object type,hexagon (block of this shape),no
9,Bring me a pentagon made of the same material as my dream patio,object type,letter A,no
10,Bring me a pentagon made of the same material as my dream patio,object type,letter E,no
11,Bring me a pentagon made of the same material as my dream patio,object type,letter G,no
12,Bring me a pentagon made of the same material as my dream patio,object type,letter M,no
13,Bring me a pentagon made of the same material as my dream patio,object type,letter R,no
14,Bring me a pentagon made of the same material as my dream patio,object type,letter T,no
15,Bring me a pentagon made of the same material as my dream patio,object type,letter V,no
16,Bring me a pentagon made of the same material as my dream patio,object type,pallet,no
17,Bring me a pentagon made of the same material as my dream patio,object type,pan,no
18,Bring me a pentagon made of the same material as my dream patio,object type,pentagon (block of this shape),yes
19,Bring me a pentagon made of the same material as my dream patio,object type,ring (block of this shape),no
20,Bring me a pentagon made of the same material as my dream patio,object type,round (block of this shape),no
21,Bring me a pentagon made of the same material as my dream patio,object type,shorter block,no
22,Bring me a pentagon made of the same material as my dream patio,object type,small block,no
23,Bring me a pentagon made of the same material as my dream patio,object type,star (block of this shape),no
24,Bring me a pentagon made of the same material as my dream patio,object type,triangle (block of this shape),no
25,Bring me a pentagon made of the same material as my dream patio,object color,brick,yes
26,Bring me a pentagon made of the same material as my dream patio,object color,tiles,yes
27,Bring me a pentagon made of the same material as my dream patio,object color,wooden,yes
28,Bring me a pentagon made of the same material as my dream patio,object color,granite,yes
29,Bring me a pentagon made of the same material as my dream patio,object color,plastic,yes
30,Bring me a pentagon made of the same material as my dream patio,object color,polka dot,no
31,Bring me a pentagon made of the same material as my dream patio,object color,checkerboard,yes
32,Bring me a pentagon made of the same material as my dream patio,object color,tiger,no
33,Bring me a pentagon made of the same material as my dream patio,object color,magma,no
34,Bring me a pentagon made of the same material as my dream patio,object color,rainbow,yes
35,Bring me a pentagon made of the same material as my dream patio,object color,blue,no
36,Bring me a pentagon made of the same material as my dream patio,object color,cyan,no
37,Bring me a pentagon made of the same material as my dream patio,object color,green,no
38,Bring me a pentagon made of the same material as my dream patio,object color,olive,yes
39,Bring me a pentagon made of the same material as my dream patio,object color,orange,no
40,Bring me a pentagon made of the same material as my dream patio,object color,pink,no
41,Bring me a pentagon made of the same material as my dream patio,object color,purple,no
42,Bring me a pentagon made of the same material as my dream patio,object color,red,no
43,Bring me a pentagon made of the same material as my dream patio,object color,yellow,no
44,Bring me a pentagon made of the same material as my dream patio,object color,dark blue,yes
45,Bring me a pentagon made of the same material as my dream patio,object color,dark cyan,yes
46,Bring me a pentagon made of the same material as my dream patio,object color,dark green,yes
47,Bring me a pentagon made of the same material as my dream patio,object color,dark orange,yes
48,Bring me a pentagon made of the same material as my dream patio,object color,dark pink,yes
