,rule,group,candidate,answer
0,Bring me a consonant that has any warm color on it,object type,L-shaped block,no
1,Bring me a consonant that has any warm color on it,object type,block,no
2,Bring me a consonant that has any warm color on it,object type,bowl,no
3,Bring me a consonant that has any warm color on it,object type,container,no
4,Bring me a consonant that has any warm color on it,object type,cross (block of this shape),no
5,Bring me a consonant that has any warm color on it,object type,diamond (block of this shape),no
6,Bring me a consonant that has any warm color on it,object type,flower (block of this shape),no
7,Bring me a consonant that has any warm color on it,object type,heart (block of this shape),no
8,Bring me a consonant that has any warm color on it,object type,hexagon (block of this shape),no
9,Bring me a consonant that has any warm color on it,object type,letter A,no
10,Bring me a consonant that has any warm color on it,object type,letter E,no
11,Bring me a consonant that has any warm color on it,object type,letter G,yes
12,Bring me a consonant that has any warm color on it,object type,letter M,yes
13,Bring me a consonant that has any warm color on it,object type,letter R,yes
14,Bring me a consonant that has any warm color on it,object type,letter T,yes
15,Bring me a consonant that has any warm color on it,object type,letter V,yes
16,Bring me a consonant that has any warm color on it,object type,pallet,no
17,Bring me a consonant that has any warm color on it,object type,pan,no
18,Bring me a consonant that has any warm color on it,object type,pentagon (block of this shape),no
19,Bring me a consonant that has any warm color on it,object type,ring (block of this shape),no
20,Bring me a consonant that has any warm color on it,object type,round (block of this shape),no
21,Bring me a consonant that has any warm color on it,object type,shorter block,no
22,Bring me a consonant that has any warm color on it,object type,small block,no
23,Bring me a consonant that has any warm color on it,object type,star (block of this shape),no
24,Bring me a consonant that has any warm color on it,object type,triangle (block of this shape),no
25,Bring me a consonant that has any warm color on it,object color,brick,no
26,Bring me a consonant that has any warm color on it,object color,tiles,no
27,Bring me a consonant that has any warm color on it,object color,wooden,no
28,Bring me a consonant that has any warm color on it,object color,granite,no
29,Bring me a consonant that has any warm color on it,object color,plastic,no
30,Bring me a consonant that has any warm color on it,object color,polka dot,yes
31,Bring me a consonant that has any warm color on it,object color,checkerboard,no
32,Bring me a consonant that has any warm color on it,object color,tiger,no
33,Bring me a consonant that has any warm color on it,object color,magma,no
34,Bring me a consonant that has any warm color on it,object color,rainbow,no
35,Bring me a consonant that has any warm color on it,object color,blue,no
36,Bring me a consonant that has any warm color on it,object color,cyan,no
37,Bring me a consonant that has any warm color on it,object color,green,no
38,Bring me a consonant that has any warm color on it,object color,olive,no
39,Bring me a consonant that has any warm color on it,object color,orange,yes
40,Bring me a consonant that has any warm color on it,object color,pink,yes
41,Bring me a consonant that has any warm color on it,object color,purple,no
42,Bring me a consonant that has any warm color on it,object color,red,yes
43,Bring me a consonant that has any warm color on it,object color,yellow,yes
44,Bring me a consonant that has any warm color on it,object color,dark blue,no
45,Bring me a consonant that has any warm color on it,object color,dark cyan,no
46,Bring me a consonant that has any warm color on it,object color,dark green,no
47,Bring me a consonant that has any warm color on it,object color,dark orange,yes
48,Bring me a consonant that has any warm color on it,object color,dark pink,yes
49,Bring me a consonant that has any warm color on it,object color,dark purple,no
50,Bring me a consonant that has any warm color on it,object color,dark red,yes
51,Bring me a consonant that has any warm color on it,object color,dark yellow,yes
52,Bring me a consonant that has any warm color on it,object color,red and yellow stripe,yes
53,Bring me a consonant that has any warm color on it,object color,red and green stripe,no
54,Bring me a consonant that has any warm color on it,object color,red and blue stripe,no
55,Bring me a consonant that has any warm color on it,object color,red and purple stripe,no
56,Bring me a consonant that has any warm color on it,object color,yellow and green stripe,no
57,Bring me a consonant that has any warm color on it,object color,yellow and blue stripe,no
58,Bring me a consonant that has any warm color on it,object color,yellow and purple stripe,no
59,Bring me a consonant that has any warm color on it,object color,green and blue stripe,no
60,Bring me a consonant that has any warm color on it,object color,green and purple stripe,no
61,Bring me a consonant that has any warm color on it,object color,blue and purple stripe,no
62,Bring me a consonant that has any warm color on it,object color,dark red and yellow stripe,yes
63,Bring me a consonant that has any warm color on it,object color,dark red and green stripe,yes
64,Bring me a consonant that has any warm color on it,object color,dark red and blue stripe,no
65,Bring me a consonant that has any warm color on it,object color,dark red and purple stripe,no
66,Bring me a consonant that has any warm color on it,object color,dark yellow and green stripe,no
67,Bring me a consonant that has any warm color on it,object color,dark yellow and blue stripe,no
