,rule,object_category,group,candidate,answer
0,Rotate something I can put food in,object to rotate,object type,L-shaped block,no
1,Rotate something I can put food in,object to rotate,object type,block,no
2,Rotate something I can put food in,object to rotate,object type,bowl,yes
3,Rotate something I can put food in,object to rotate,object type,container,yes
4,Rotate something I can put food in,object to rotate,object type,cross (block of this shape),no
5,Rotate something I can put food in,object to rotate,object type,diamond (block of this shape),no
6,Rotate something I can put food in,object to rotate,object type,flower (block of this shape),no
7,Rotate something I can put food in,object to rotate,object type,heart (block of this shape),no
8,Rotate something I can put food in,object to rotate,object type,hexagon (block of this shape),no
9,Rotate something I can put food in,object to rotate,object type,letter A,no
10,Rotate something I can put food in,object to rotate,object type,letter E,no
11,Rotate something I can put food in,object to rotate,object type,letter G,no
12,Rotate something I can put food in,object to rotate,object type,letter M,no
13,Rotate something I can put food in,object to rotate,object type,letter R,no
14,Rotate something I can put food in,object to rotate,object type,letter T,no
15,Rotate something I can put food in,object to rotate,object type,letter V,no
16,Rotate something I can put food in,object to rotate,object type,pallet,no
17,Rotate something I can put food in,object to rotate,object type,pan,yes
18,Rotate something I can put food in,object to rotate,object type,pentagon (block of this shape),no
19,Rotate something I can put food in,object to rotate,object type,ring (block of this shape),no
20,Rotate something I can put food in,object to rotate,object type,round (block of this shape),no
21,Rotate something I can put food in,object to rotate,object type,shorter block,no
22,Rotate something I can put food in,object to rotate,object type,small block,no
23,Rotate something I can put food in,object to rotate,object type,star (block of this shape),no
24,Rotate something I can put food in,object to rotate,object type,triangle (block of this shape),no
25,Rotate something I can put food in,object to rotate,object color,brick,yes
26,Rotate something I can put food in,object to rotate,object color,tiles,yes
27,Rotate something I can put food in,object to rotate,object color,wooden,yes
28,Rotate something I can put food in,object to rotate,object color,granite,yes
29,Rotate something I can put food in,object to rotate,object color,plastic,yes
30,Rotate something I can put food in,object to rotate,object color,polka dot,yes
31,Rotate something I can put food in,object to rotate,object color,checkerboard,yes
32,Rotate something I can put food in,object to rotate,object color,tiger,yes
33,Rotate something I can put food in,object to rotate,object color,magma,yes
34,Rotate something I can put food in,object to rotate,object color,rainbow,yes
35,Rotate something I can put food in,object to rotate,object color,blue,yes
36,Rotate something I can put food in,object to rotate,object color,cyan,yes
37,Rotate something I can put food in,object to rotate,object color,green,yes
38,Rotate something I can put food in,object to rotate,object color,olive,yes
39,Rotate something I can put food in,object to rotate,object color,orange,yes
40,Rotate something I can put food in,object to rotate,object color,pink,yes
41,Rotate something I can put food in,object to rotate,object color,purple,yes
42,Rotate something I can put food in,object to rotate,object color,red,yes
43,Rotate something I can put food in,object to rotate,object color,yellow,yes
44,Rotate something I can put food in,object to rotate,object color,dark blue,yes
45,Rotate something I can put food in,object to rotate,object color,dark cyan,yes
46,Rotate something I can put food in,object to rotate,object color,dark green,yes
47,Rotate something I can put food in,object to rotate,object color,dark orange,yes
48,Rotate something I can put food in,object to rotate,object color,dark pink,yes
49,Rotate something I can put food in,object to rotate,object color,dark purple,yes
50,Rotate something I can put food in,object to rotate,object color,dark red,yes
51,Rotate something I can put food in,object to rotate,object color,dark yellow,yes
52,Rotate something I can put food in,object to rotate,object color,red and yellow stripe,yes
53,Rotate something I can put food in,object to rotate,object color,red and green stripe,yes
54,Rotate something I can put food in,object to rotate,object color,red and blue stripe,yes
55,Rotate something I can put food in,object to rotate,object color,red and purple stripe,yes
56,Rotate something I can put food in,object to rotate,object color,yellow and green stripe,yes
57,Rotate something I can put food in,object to rotate,object color,yellow and blue stripe,yes
58,Rotate something I can put food in,object to rotate,object color,yellow and purple stripe,yes
59,Rotate something I can put food in,object to rotate,object color,green and blue stripe,yes
