,rule,object_category,group,candidate,answer
0,Rotate the red heart,object to rotate,object type,L-shaped block,no
1,Rotate the red heart,object to rotate,object type,block,no
2,Rotate the red heart,object to rotate,object type,bowl,no
3,Rotate the red heart,object to rotate,object type,container,no
4,Rotate the red heart,object to rotate,object type,cross (block of this shape),no
5,Rotate the red heart,object to rotate,object type,diamond (block of this shape),no
6,Rotate the red heart,object to rotate,object type,flower (block of this shape),no
7,Rotate the red heart,object to rotate,object type,heart (block of this shape),yes
8,Rotate the red heart,object to rotate,object type,hexagon (block of this shape),no
9,Rotate the red heart,object to rotate,object type,letter A,no
10,Rotate the red heart,object to rotate,object type,letter E,no
11,Rotate the red heart,object to rotate,object type,letter G,no
12,Rotate the red heart,object to rotate,object type,letter M,no
13,Rotate the red heart,object to rotate,object type,letter R,no
14,Rotate the red heart,object to rotate,object type,letter T,no
15,Rotate the red heart,object to rotate,object type,letter V,no
16,Rotate the red heart,object to rotate,object type,pallet,no
17,Rotate the red heart,object to rotate,object type,pan,no
18,Rotate the red heart,object to rotate,object type,pentagon (block of this shape),no
19,Rotate the red heart,object to rotate,object type,ring (block of this shape),no
20,Rotate the red heart,object to rotate,object type,round (block of this shape),no
21,Rotate the red heart,object to rotate,object type,shorter block,no
22,Rotate the red heart,object to rotate,object type,small block,no
23,Rotate the red heart,object to rotate,object type,star (block of this shape),no
24,Rotate the red heart,object to rotate,object type,triangle (block of this shape),no
25,Rotate the red heart,object to rotate,object color,brick,no
26,Rotate the red heart,object to rotate,object color,tiles,no
27,Rotate the red heart,object to rotate,object color,wooden,no
28,Rotate the red heart,object to rotate,object color,granite,no
29,Rotate the red heart,object to rotate,object color,plastic,no
30,Rotate the red heart,object to rotate,object color,polka dot,no
31,Rotate the red heart,object to rotate,object color,checkerboard,no
32,Rotate the red heart,object to rotate,object color,tiger,no
33,Rotate the red heart,object to rotate,object color,magma,no
34,Rotate the red heart,object to rotate,object color,rainbow,no
35,Rotate the red heart,object to rotate,object color,blue,no
36,Rotate the red heart,object to rotate,object color,cyan,no
37,Rotate the red heart,object to rotate,object color,green,no
38,Rotate the red heart,object to rotate,object color,olive,no
39,Rotate the red heart,object to rotate,object color,orange,no
40,Rotate the red heart,object to rotate,object color,pink,no
41,Rotate the red heart,object to rotate,object color,purple,no
42,Rotate the red heart,object to rotate,object color,red,yes
43,Rotate the red heart,object to rotate,object color,yellow,no
44,Rotate the red heart,object to rotate,object color,dark blue,no
45,Rotate the red heart,object to rotate,object color,dark cyan,no
46,Rotate the red heart,object to rotate,object color,dark green,no
47,Rotate the red heart,object to rotate,object color,dark orange,no
48,Rotate the red heart,object to rotate,object color,dark pink,no
49,Rotate the red heart,object to rotate,object color,dark purple,no
50,Rotate the red heart,object to rotate,object color,dark red,no
51,Rotate the red heart,object to rotate,object color,dark yellow,no
52,Rotate the red heart,object to rotate,object color,red and yellow stripe,no
53,Rotate the red heart,object to rotate,object color,red and green stripe,no
54,Rotate the red heart,object to rotate,object color,red and blue stripe,no
55,Rotate the red heart,object to rotate,object color,red and purple stripe,no
56,Rotate the red heart,object to rotate,object color,yellow and green stripe,no
57,Rotate the red heart,object to rotate,object color,yellow and blue stripe,no
58,Rotate the red heart,object to rotate,object color,yellow and purple stripe,no
59,Rotate the red heart,object to rotate,object color,green and blue stripe,no
60,Rotate the red heart,object to rotate,object color,green and purple stripe,no
61,Rotate the red heart,object to rotate,object color,blue and purple stripe,no
62,Rotate the red heart,object to rotate,object color,dark red and yellow stripe,no
63,Rotate the red heart,object to rotate,object color,dark red and green stripe,no
64,Rotate the red heart,object to rotate,object color,dark red and blue stripe,no
65,Rotate the red heart,object to rotate,object color,dark red and purple stripe,no
66,Rotate the red heart,object to rotate,object color,dark yellow and green stripe,no
67,Rotate the red heart,object to rotate,object color,dark yellow and blue stripe,no
68,Rotate the red heart,object to rotate,object color,dark yellow and purple stripe,no
69,Rotate the red heart,object to rotate,object color,dark green and blue stripe,no
70,Rotate the red heart,object to rotate,object color,dark green and purple stripe,no
71,Rotate the red heart,object to rotate,object color,dark blue and purple stripe,no
72,Rotate the red heart,object to rotate,object color,red and yellow polka dot,no
73,Rotate the red heart,object to rotate,object color,red and green polka dot,no
74,Rotate the red heart,object to rotate,object color,red and blue polka dot,no
75,Rotate the red heart,object to rotate,object color,red and purple polka dot,no
76,Rotate the red heart,object to rotate,object color,yellow and green polka dot,no
77,Rotate the red heart,object to rotate,object color,yellow and blue polka dot,no
78,Rotate the red heart,object to rotate,object color,yellow and purple polka dot,no
79,Rotate the red heart,object to rotate,object color,green and blue polka dot,no
80,Rotate the red heart,object to rotate,object color,green and purple polka dot,no
81,Rotate the red heart,object to rotate,object color,blue and purple polka dot,no
82,Rotate the red heart,object to rotate,object color,dark red and yellow polka dot,no
83,Rotate the red heart,object to rotate,object color,dark red and green polka dot,no
84,Rotate the red heart,object to rotate,object color,dark red and blue polka dot,no
85,Rotate the red heart,object to rotate,object color,dark red and purple polka dot,no
86,Rotate the red heart,object to rotate,object color,dark yellow and green polka dot,no
87,Rotate the red heart,object to rotate,object color,dark yellow and blue polka dot,no
88,Rotate the red heart,object to rotate,object color,dark yellow and purple polka dot,no
89,Rotate the red heart,object to rotate,object color,dark green and blue polka dot,no
90,Rotate the red heart,object to rotate,object color,dark green and purple polka dot,no
91,Rotate the red heart,object to rotate,object color,dark blue and purple polka dot,no
92,Rotate the red heart,object to rotate,object color,red swirl,no
93,Rotate the red heart,object to rotate,object color,yellow swirl,no
94,Rotate the red heart,object to rotate,object color,green swirl,no
95,Rotate the red heart,object to rotate,object color,blue swirl,no
96,Rotate the red heart,object to rotate,object color,purple swirl,no
97,Rotate the red heart,object to rotate,object color,dark red swirl,no
98,Rotate the red heart,object to rotate,object color,dark yellow swirl,no
99,Rotate the red heart,object to rotate,object color,dark green swirl,no
100,Rotate the red heart,object to rotate,object color,dark blue swirl,no
101,Rotate the red heart,object to rotate,object color,dark purple swirl,no
102,Rotate the red heart,object to rotate,object color,red paisley,no
103,Rotate the red heart,object to rotate,object color,yellow paisley,no
104,Rotate the red heart,object to rotate,object color,green paisley,no
105,Rotate the red heart,object to rotate,object color,blue paisley,no
106,Rotate the red heart,object to rotate,object color,purple paisley,no
