,rule,object_category,group,candidate,answer
0,Put down the pan,object to put down,object type,L-shaped block,no
1,Put down the pan,object to put down,object type,tomato,no
2,Put down the pan,object to put down,object type,peach,no
3,Put down the pan,object to put down,object type,apple,no
4,Put down the pan,object to put down,object type,banana,no
5,Put down the pan,object to put down,object type,pepper,no
6,Put down the pan,object to put down,object type,drying rack,no
7,Put down the pan,object to put down,object type,drying cloth,no
8,Put down the pan,object to put down,object type,dish towel,no
9,Put down the pan,object to put down,object type,plate,no
10,Put down the pan,object to put down,object type,mug,no
11,Put down the pan,object to put down,object type,cup,no
12,Put down the pan,object to put down,object type,saucer,no
13,Put down the pan,object to put down,object type,coaster,no
14,Put down the pan,object to put down,object type,block,no
15,Put down the pan,object to put down,object type,bowl,no
16,Put down the pan,object to put down,object type,container,no
17,Put down the pan,object to put down,object type,cross (block of this shape),no
18,Put down the pan,object to put down,object type,diamond (block of this shape),no
19,Put down the pan,object to put down,object type,flower (block of this shape),no
20,Put down the pan,object to put down,object type,heart (block of this shape),no
21,Put down the pan,object to put down,object type,hexagon (block of this shape),no
22,Put down the pan,object to put down,object type,letter A,no
23,Put down the pan,object to put down,object type,letter E,no
24,Put down the pan,object to put down,object type,letter G,no
25,Put down the pan,object to put down,object type,letter M,no
26,Put down the pan,object to put down,object type,letter R,no
27,Put down the pan,object to put down,object type,letter T,no
28,Put down the pan,object to put down,object type,letter V,no
29,Put down the pan,object to put down,object type,pallet,no
30,Put down the pan,object to put down,object type,pan,yes
31,Put down the pan,object to put down,object type,pentagon (block of this shape),no
32,Put down the pan,object to put down,object type,ring (block of this shape),no
33,Put down the pan,object to put down,object type,round (block of this shape),no
34,Put down the pan,object to put down,object type,shorter block,no
35,Put down the pan,object to put down,object type,small block,no
36,Put down the pan,object to put down,object type,star (block of this shape),no
37,Put down the pan,object to put down,object type,triangle (block of this shape),no
38,Put down the pan,object to put down,object type,book,no
39,Put down the pan,object to put down,object type,iPad,no
40,Put down the pan,object to put down,object type,phone,no
41,Put down the pan,object to put down,object type,laptop,no
42,Put down the pan,object to put down,object type,bin,no
43,Put down the pan,object to put down,object type,stove,no
44,Put down the pan,object to put down,object type,sharp block,no
45,Put down the pan,object to put down,object type,knife,no
46,Put down the pan,object to put down,object type,rug,no
47,Put down the pan,object to put down,object type,box,no
48,Put down the pan,object to put down,object color,brick,yes
49,Put down the pan,object to put down,object color,tiles,yes
50,Put down the pan,object to put down,object color,wooden,yes
51,Put down the pan,object to put down,object color,granite,yes
52,Put down the pan,object to put down,object color,plastic,yes
53,Put down the pan,object to put down,object color,carpet,yes
54,Put down the pan,object to put down,object color,polka dot,yes
55,Put down the pan,object to put down,object color,checkerboard,yes
56,Put down the pan,object to put down,object color,tiger,yes
57,Put down the pan,object to put down,object color,magma,yes
58,Put down the pan,object to put down,object color,rainbow,yes
59,Put down the pan,object to put down,object color,blue,yes
60,Put down the pan,object to put down,object color,cyan,yes
61,Put down the pan,object to put down,object color,green,yes
62,Put down the pan,object to put down,object color,olive,yes
63,Put down the pan,object to put down,object color,orange,yes
64,Put down the pan,object to put down,object color,pink,yes
65,Put down the pan,object to put down,object color,purple,yes
66,Put down the pan,object to put down,object color,red,yes
67,Put down the pan,object to put down,object color,yellow,yes
68,Put down the pan,object to put down,object color,dark blue,yes
69,Put down the pan,object to put down,object color,dark cyan,yes
70,Put down the pan,object to put down,object color,dark green,yes
71,Put down the pan,object to put down,object color,dark orange,yes
72,Put down the pan,object to put down,object color,dark pink,yes
73,Put down the pan,object to put down,object color,dark purple,yes
74,Put down the pan,object to put down,object color,dark red,yes
75,Put down the pan,object to put down,object color,dark yellow,yes
76,Put down the pan,object to put down,object color,red and yellow stripe,yes
77,Put down the pan,object to put down,object color,red and green stripe,yes
78,Put down the pan,object to put down,object color,red and blue stripe,yes
79,Put down the pan,object to put down,object color,red and purple stripe,yes
80,Put down the pan,object to put down,object color,yellow and green stripe,yes
81,Put down the pan,object to put down,object color,yellow and blue stripe,yes
82,Put down the pan,object to put down,object color,yellow and purple stripe,yes
83,Put down the pan,object to put down,object color,green and blue stripe,yes
84,Put down the pan,object to put down,object color,green and purple stripe,yes
85,Put down the pan,object to put down,object color,blue and purple stripe,yes
86,Put down the pan,object to put down,object color,dark red and yellow stripe,yes
87,Put down the pan,object to put down,object color,dark red and green stripe,yes
88,Put down the pan,object to put down,object color,dark red and blue stripe,yes
89,Put down the pan,object to put down,object color,dark red and purple stripe,yes
90,Put down the pan,object to put down,object color,dark yellow and green stripe,yes
91,Put down the pan,object to put down,object color,dark yellow and blue stripe,yes
92,Put down the pan,object to put down,object color,dark yellow and purple stripe,yes
93,Put down the pan,object to put down,object color,dark green and blue stripe,yes
94,Put down the pan,object to put down,object color,dark green and purple stripe,yes
95,Put down the pan,object to put down,object color,dark blue and purple stripe,yes
96,Put down the pan,object to put down,object color,red and yellow polka dot,yes
97,Put down the pan,object to put down,object color,red and green polka dot,yes
98,Put down the pan,object to put down,object color,red and blue polka dot,yes
99,Put down the pan,object to put down,object color,red and purple polka dot,yes
100,Put down the pan,object to put down,object color,yellow and green polka dot,yes
101,Put down the pan,object to put down,object color,yellow and blue polka dot,yes
102,Put down the pan,object to put down,object color,yellow and purple polka dot,yes
103,Put down the pan,object to put down,object color,green and blue polka dot,yes
104,Put down the pan,object to put down,object color,green and purple polka dot,yes
105,Put down the pan,object to put down,object color,blue and purple polka dot,yes
106,Put down the pan,object to put down,object color,dark red and yellow polka dot,yes
107,Put down the pan,object to put down,object color,dark red and green polka dot,yes
108,Put down the pan,object to put down,object color,dark red and blue polka dot,yes
109,Put down the pan,object to put down,object color,dark red and purple polka dot,yes
110,Put down the pan,object to put down,object color,dark yellow and green polka dot,yes
111,Put down the pan,object to put down,object color,dark yellow and blue polka dot,yes
112,Put down the pan,object to put down,object color,dark yellow and purple polka dot,yes
113,Put down the pan,object to put down,object color,dark green and blue polka dot,yes
114,Put down the pan,object to put down,object color,dark green and purple polka dot,yes
115,Put down the pan,object to put down,object color,dark blue and purple polka dot,yes
116,Put down the pan,object to put down,object color,red swirl,yes
117,Put down the pan,object to put down,object color,yellow swirl,yes
118,Put down the pan,object to put down,object color,green swirl,yes
119,Put down the pan,object to put down,object color,blue swirl,yes
120,Put down the pan,object to put down,object color,purple swirl,yes
121,Put down the pan,object to put down,object color,dark red swirl,yes
122,Put down the pan,object to put down,object color,dark yellow swirl,yes
123,Put down the pan,object to put down,object color,dark green swirl,yes
124,Put down the pan,object to put down,object color,dark blue swirl,yes
125,Put down the pan,object to put down,object color,dark purple swirl,yes
126,Put down the pan,object to put down,object color,red paisley,yes
127,Put down the pan,object to put down,object color,yellow paisley,yes
128,Put down the pan,object to put down,object color,green paisley,yes
129,Put down the pan,object to put down,object color,blue paisley,yes
130,Put down the pan,object to put down,object color,purple paisley,yes
