,rule,object_category,group,candidate,answer
0,Put away the food,object to put away,object type,L-shaped block,no
1,Put away the food,object to put away,object type,tomato,yes
2,Put away the food,object to put away,object type,peach,yes
3,Put away the food,object to put away,object type,apple,yes
4,Put away the food,object to put away,object type,banana,yes
5,Put away the food,object to put away,object type,pepper,yes
6,Put away the food,object to put away,object type,drying rack,no
7,Put away the food,object to put away,object type,drying cloth,no
8,Put away the food,object to put away,object type,dish towel,no
9,Put away the food,object to put away,object type,plate,no
10,Put away the food,object to put away,object type,mug,no
11,Put away the food,object to put away,object type,cup,no
12,Put away the food,object to put away,object type,saucer,no
13,Put away the food,object to put away,object type,coaster,no
14,Put away the food,object to put away,object type,block,no
15,Put away the food,object to put away,object type,bowl,no
16,Put away the food,object to put away,object type,container,no
17,Put away the food,object to put away,object type,cross (block of this shape),no
18,Put away the food,object to put away,object type,diamond (block of this shape),no
19,Put away the food,object to put away,object type,flower (block of this shape),no
20,Put away the food,object to put away,object type,heart (block of this shape),no
21,Put away the food,object to put away,object type,hexagon (block of this shape),no
22,Put away the food,object to put away,object type,letter A,no
23,Put away the food,object to put away,object type,letter E,no
24,Put away the food,object to put away,object type,letter G,no
25,Put away the food,object to put away,object type,letter M,no
26,Put away the food,object to put away,object type,letter R,no
27,Put away the food,object to put away,object type,letter T,no
28,Put away the food,object to put away,object type,letter V,no
29,Put away the food,object to put away,object type,pallet,no
30,Put away the food,object to put away,object type,pan,no
31,Put away the food,object to put away,object type,pentagon (block of this shape),no
32,Put away the food,object to put away,object type,ring (block of this shape),no
33,Put away the food,object to put away,object type,round (block of this shape),no
34,Put away the food,object to put away,object type,shorter block,no
35,Put away the food,object to put away,object type,small block,no
36,Put away the food,object to put away,object type,star (block of this shape),no
37,Put away the food,object to put away,object type,triangle (block of this shape),no
38,Put away the food,object to put away,object type,book,no
39,Put away the food,object to put away,object type,iPad,no
40,Put away the food,object to put away,object type,phone,no
41,Put away the food,object to put away,object type,laptop,no
42,Put away the food,object to put away,object type,bin,no
43,Put away the food,object to put away,object type,stove,no
44,Put away the food,object to put away,object type,sharp block,no
45,Put away the food,object to put away,object type,knife,no
46,Put away the food,object to put away,object type,rug,no
47,Put away the food,object to put away,object type,box,no
48,Put away the food,object to put away,object color,brick,yes
49,Put away the food,object to put away,object color,tiles,yes
50,Put away the food,object to put away,object color,wooden,no
51,Put away the food,object to put away,object color,granite,yes
52,Put away the food,object to put away,object color,plastic,no
53,Put away the food,object to put away,object color,carpet,yes
54,Put away the food,object to put away,object color,polka dot,yes
55,Put away the food,object to put away,object color,checkerboard,yes
56,Put away the food,object to put away,object color,tiger,yes
57,Put away the food,object to put away,object color,magma,yes
58,Put away the food,object to put away,object color,rainbow,yes
59,Put away the food,object to put away,object color,blue,yes
60,Put away the food,object to put away,object color,cyan,yes
61,Put away the food,object to put away,object color,green,yes
62,Put away the food,object to put away,object color,olive,yes
63,Put away the food,object to put away,object color,orange,yes
64,Put away the food,object to put away,object color,pink,yes
65,Put away the food,object to put away,object color,purple,yes
66,Put away the food,object to put away,object color,red,yes
67,Put away the food,object to put away,object color,yellow,yes
