,rule,object_category,group,candidate,answer
0,Sweep the block into the square without touching the pan,object to sweep,object type,L-shaped block,no
1,Sweep the block into the square without touching the pan,object to sweep,object type,block,yes
2,Sweep the block into the square without touching the pan,object to sweep,object type,bowl,no
3,Sweep the block into the square without touching the pan,object to sweep,object type,container,no
4,Sweep the block into the square without touching the pan,object to sweep,object type,cross (block of this shape),no
5,Sweep the block into the square without touching the pan,object to sweep,object type,diamond (block of this shape),no
6,Sweep the block into the square without touching the pan,object to sweep,object type,flower (block of this shape),no
7,Sweep the block into the square without touching the pan,object to sweep,object type,heart (block of this shape),no
8,Sweep the block into the square without touching the pan,object to sweep,object type,hexagon (block of this shape),no
9,Sweep the block into the square without touching the pan,object to sweep,object type,letter A,no
10,Sweep the block into the square without touching the pan,object to sweep,object type,letter E,no
11,Sweep the block into the square without touching the pan,object to sweep,object type,letter G,no
12,Sweep the block into the square without touching the pan,object to sweep,object type,letter M,no
13,Sweep the block into the square without touching the pan,object to sweep,object type,letter R,no
14,Sweep the block into the square without touching the pan,object to sweep,object type,letter T,no
15,Sweep the block into the square without touching the pan,object to sweep,object type,letter V,no
16,Sweep the block into the square without touching the pan,object to sweep,object type,pallet,no
17,Sweep the block into the square without touching the pan,object to sweep,object type,pan,no
18,Sweep the block into the square without touching the pan,object to sweep,object type,pentagon (block of this shape),no
19,Sweep the block into the square without touching the pan,object to sweep,object type,ring (block of this shape),no
20,Sweep the block into the square without touching the pan,object to sweep,object type,round (block of this shape),no
21,Sweep the block into the square without touching the pan,object to sweep,object type,shorter block,no
22,Sweep the block into the square without touching the pan,object to sweep,object type,small block,no
23,Sweep the block into the square without touching the pan,object to sweep,object type,star (block of this shape),no
24,Sweep the block into the square without touching the pan,object to sweep,object type,triangle (block of this shape),no
25,Sweep the block into the square without touching the pan,object to sweep,object color,brick,yes
26,Sweep the block into the square without touching the pan,object to sweep,object color,tiles,yes
27,Sweep the block into the square without touching the pan,object to sweep,object color,wooden,yes
28,Sweep the block into the square without touching the pan,object to sweep,object color,granite,yes
29,Sweep the block into the square without touching the pan,object to sweep,object color,plastic,yes
30,Sweep the block into the square without touching the pan,object to sweep,object color,polka dot,yes
31,Sweep the block into the square without touching the pan,object to sweep,object color,checkerboard,yes
32,Sweep the block into the square without touching the pan,object to sweep,object color,tiger,yes
33,Sweep the block into the square without touching the pan,object to sweep,object color,magma,yes
34,Sweep the block into the square without touching the pan,object to sweep,object color,rainbow,yes
35,Sweep the block into the square without touching the pan,object to sweep,object color,blue,yes
36,Sweep the block into the square without touching the pan,object to sweep,object color,cyan,yes
37,Sweep the block into the square without touching the pan,object to sweep,object color,green,yes
38,Sweep the block into the square without touching the pan,object to sweep,object color,olive,yes
39,Sweep the block into the square without touching the pan,object to sweep,object color,orange,yes
40,Sweep the block into the square without touching the pan,object to sweep,object color,pink,yes
41,Sweep the block into the square without touching the pan,object to sweep,object color,purple,yes
42,Sweep the block into the square without touching the pan,object to sweep,object color,red,yes
43,Sweep the block into the square without touching the pan,object to sweep,object color,yellow,yes
44,Sweep the block into the square without touching the pan,object to sweep,object color,dark blue,yes
45,Sweep the block into the square without touching the pan,object to sweep,object color,dark cyan,yes
46,Sweep the block into the square without touching the pan,object to sweep,object color,dark green,yes
47,Sweep the block into the square without touching the pan,object to sweep,object color,dark orange,yes
48,Sweep the block into the square without touching the pan,object to sweep,object color,dark pink,yes
49,Sweep the block into the square without touching the pan,object to sweep,object color,dark purple,yes
50,Sweep the block into the square without touching the pan,object to sweep,object color,dark red,yes
51,Sweep the block into the square without touching the pan,object to sweep,object color,dark yellow,yes
52,Sweep the block into the square without touching the pan,object to sweep,object color,red and yellow stripe,yes
53,Sweep the block into the square without touching the pan,object to sweep,object color,red and green stripe,yes
54,Sweep the block into the square without touching the pan,object to sweep,object color,red and blue stripe,yes
55,Sweep the block into the square without touching the pan,object to sweep,object color,red and purple stripe,yes
56,Sweep the block into the square without touching the pan,object to sweep,object color,yellow and green stripe,yes
57,Sweep the block into the square without touching the pan,object to sweep,object color,yellow and blue stripe,yes
58,Sweep the block into the square without touching the pan,object to sweep,object color,yellow and purple stripe,yes
59,Sweep the block into the square without touching the pan,object to sweep,object color,green and blue stripe,yes
60,Sweep the block into the square without touching the pan,object to sweep,object color,green and purple stripe,yes
